accreditation,category,duration,name,organization,reviews,score,subscription_type,subscription_value,weekly_study
False,Language,4 weeks,Fall in Love with Mandarin,National Yang Ming Chiao Tung University,54,4.3 ,Unlimited subscription,€23.99,1 hour
False,Psychology & Mental Health,4 weeks,Mindfulness for Wellbeing and Peak Performance,Monash University,1126,4.9 ,Unlimited subscription,€23.99,3 hours
True,Psychology & Mental Health,4 weeks,Understanding Autism,The University of Kent,958,4.7 ,Unlimited subscription,€23.99,3 hours
False,Business & Management,3 weeks,How to Fundraise: A Guide to Fundraising for Non-Fundraisers,The University of Kent,99,4.8 ,Unlimited subscription,€23.99,4 hours
False,Psychology & Mental Health,8 weeks,Forensic Psychology: Witness Investigation,The Open University,467,4.8 ,Unlimited subscription,€23.99,3 hours
False,Nature & Environment,4 weeks,Making Climate Adaptation Happen: Governing Transformation Strategies for Climate Change,University of Groningen,35,4.5 ,Unlimited subscription,€23.99,4 hours
False,Teaching,6 weeks,English in Early Childhood: Language Learning and Development,British Council,576,4.8 ,Unlimited subscription,€23.99,2 hours
True,Business & Management,2 weeks,Professional Resilience: Building Skills to Thrive at Work,Deakin University,649,4.8 ,Unlimited subscription,€23.99,3 hours
False,Teaching,5 weeks,Becoming a Better Music Teacher,ABRSM,130,4.7 ,Unlimited subscription,€23.99,3 hours
False,Psychology & Mental Health,6 weeks,Psychology and Mental Health: Beyond Nature and Nurture,University of Liverpool,153,4.8 ,Unlimited subscription,€23.99,3 hours
False,Healthcare & Medicine,2 weeks,Virtual Work Experience and Exploring the Veterinary Profession,The University of Nottingham,428,4.8 ,Unlimited subscription,€23.99,3 hours
True,Nature & Environment,5 weeks,Animal Feed Production: Feed Safety,EIT Food,5,4.0 ,Premium course,€74,4 hours
True,Psychology & Mental Health,4 weeks,The Many Faces of Dementia,UCL (University College London) ,368,4.8 ,Unlimited subscription,€23.99,2 hours
False,Teaching,4 weeks,Teaching English Online,Cambridge University Press & Assessment,1708,4.9 ,Unlimited subscription,€23.99,5 hours
True,IT & Computer Science,8 weeks,Introduction to Cyber Security,The Open University,452,4.7 ,Unlimited subscription,€23.99,3 hours
False,Healthcare & Medicine,4 weeks,A Beginner’s Guide to Healthy Eating,The University of Adelaide,,,Unlimited subscription,€23.99,1 hour
